ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 13 - Manufacture of textiles",2017,90.559,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 14 - Manufacture of wearing apparel",2017,382.505,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 15 - Manufacture of leather and related products",2017,88.471,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2017,59.775,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 17 - Manufacture of paper and paper products",2017,14.874,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 18 - Printing and reproduction of recorded media",2017,37.507,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 19 - Manufacture of coke and refined petroleum products",2017,5.921,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 20 - Manufacture of chemicals and chemical products",2017,28.837,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 21 - Manufacture of pharmaceuticals, medicinal chemical and botanical products",2017,17.565,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 22 - Manufacture of rubber and plastics products",2017,45.202,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 23 - Manufacture of other non-metallic mineral products",2017,52.237,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 24 - Manufacture of basic metals",2017,11.362,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 25 - Manufacture of fabricated metal products, except machinery and equipment",2017,115.252,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 26 - Manufacture of computer, electronic and optical products",2017,3.151,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 27 - Manufacture of electrical equipment",2017,8.215,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 28 - Manufacture of machinery and equipment n.e.c.",2017,6.92,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 29 - Manufacture of motor vehicles, trailers and semi-trailers",2017,7.144,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 30 - Manufacture of other transport equipment",2017,4.73,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 31 - Manufacture of furniture",2017,110.802,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 32 - Other manufacturing",2017,50.849,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 33 - Repair and installation of machinery and equipment",2017,53.044,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 35 - Electricity, gas, steam and air conditioning supply",2017,20.426,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 36 - Water collection, treatment and supply",2017,15.464,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 38 - Waste collection, treatment and disposal activities; materials recovery",2017,32.891,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 41 - Construction of buildings",2017,721.25,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 42 - Civil engineering",2017,105.055,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 43 - Specialized construction activities",2017,157.858,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 45 - Wholesale and retail trade and repair of motor vehicles and motorcycles",2017,267.761,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 46 - Wholesale trade, except of motor vehicles and motorcycles",2017,404.724,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 47 - Retail trade, except of motor vehicles and motorcycles",2017,2603.421,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 49 - Land transport and transport via pipelines",2017,1117.836,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 50 - Water transport",2017,10.292,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 51 - Air transport",2017,11.344,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 52 - Warehousing and support activities for transportation",2017,121.573,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 53 - Postal and courier activities",2017,15.448,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 55 - Accommodation",2017,74.669,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 56 - Food and beverage service activities",2017,1188.239,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 58 - Publishing activities",2017,17.228,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 59 - Motion picture, video and television programme production, sound recording and music publishing activities",2017,8.919,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 60 - Programming and broadcasting activities",2017,16.165,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 61 - Telecommunications",2017,93.313,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities",2017,20.767,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 63 - Information service activities",2017,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 64 - Financial service activities, except insurance and pension funding",2017,114.344,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 65 - Insurance, reinsurance and pension funding, except compulsory social security",2017,21.625,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 66 - Activities auxiliary to financial service and insurance activities",2017,4.653,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 68 - Real estate activities",2017,13.232,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 69 - Legal and accounting activities",2017,153.367,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 70 - Activities of head offices; management consultancy activities",2017,13.787,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 71 - Architectural and engineering activities; technical testing and analysis",2017,49.831,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 72 - Scientific research and development",2017,9.224,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 73 - Advertising and market research",2017,34.573,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 74 - Other professional, scientific and technical activities",2017,57.3,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 75 - Veterinary activities",2017,16.722,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 77 - Rental and leasing activities",2017,33.522,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 78 - Employment activities",2017,129.583,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 79 - Travel agency, tour operator, reservation service and related activities",2017,28.894,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 80 - Security and investigation activities",2017,114.017,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 81 - Services to buildings and landscape activities",2017,129.496,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 82 - Office administrative, office support and other business support activities",2017,78.302,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 84 - Public administration and defence; compulsory social security",2017,721.578,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 85 - Education",2017,853.589,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 86 - Human health activities",2017,342.255,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 87 - Residential care activities",2017,5.285,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 88 - Social work activities without accommodation",2017,9.654,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 90 - Creative, arts and entertainment activities",2017,93.359,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 91 - Libraries, archives, museums and other cultural activities",2017,4.503,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 92 - Gambling and betting activities",2017,20.19,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 93 - Sports activities and amusement and recreation activities",2017,70.152,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 94 - Activities of membership organizations",2017,118.073,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 95 - Repair of computers and personal and household goods",2017,105.497,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 96 - Other personal service activities",2017,271.316,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 97 - Activities of households as employers of domestic personnel",2017,404.336,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: 99 - Activities of extraterritorial organizations and bodies",2017,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Total,"Economic activity (ISIC-Rev.4), 2 digit level: Not elsewhere classified",2017,63.115,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: Total",2017,9599.788,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 01 - Crop and animal production, hunting and related service activities",2017,2572.645,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 02 - Forestry and logging",2017,19.578,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 03 - Fishing and aquaculture",2017,93.702,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 05 - Mining of coal and lignite",2017,1.814,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 06 - Extraction of crude petroleum and natural gas",2017,5.278,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 07 - Mining of metal ores",2017,147.067,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 08 - Other mining and quarrying",2017,13.337,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 09 - Mining support service activities",2017,21.596,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 10 - Manufacture of food products",2017,176.337,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 11 - Manufacture of beverages",2017,17.846,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 12 - Manufacture of tobacco products",2017,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 13 - Manufacture of textiles",2017,29.519,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 14 - Manufacture of wearing apparel",2017,143.27,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 15 - Manufacture of leather and related products",2017,55.549,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2017,50.23,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 17 - Manufacture of paper and paper products",2017,10.711,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 18 - Printing and reproduction of recorded media",2017,27.221,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 19 - Manufacture of coke and refined petroleum products",2017,5.632,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 20 - Manufacture of chemicals and chemical products",2017,21.609,,,Repository: ILO-STATISTICS - Micro data processing
Peru,Employment by sex and economic activity - ISIC level 2 (thousands),HS - Encuesta Nacional de Hogares,Sex: Male,"Economic activity (ISIC-Rev.4), 2 digit level: 21 - Manufacture of pharmaceuticals, medicinal chemical and botanical products",2017,9.534,,,Repository: ILO-STATISTICS - Micro data processing
